"SPECIES: common name","European common frog"
"SPECIES: Latin  name","Rana temporaria"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2A"
"RETINAL LOCATION of sampling field","all, right eye"
"NUMBER OF CELLS",1001
"AREA OF SAMPLED FIELD (sq mm)",62.36
"TOTAL RETINAL AREA (sq mm)",62.36
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","AOS-projecting RGCs, HRP-labelled from nBOR (see Methods)"
"X","Y"
 10238 , 8044 
 2356 , 8036 
 6130 , 8022 
 4249 , 8020 
 1209 , 8020 
 3098 , 8017 
 2201 , 8010 
 1079 , 8005 
 6033 , 7999 
 10034 , 7995 
 4832 , 7995 
 4768 , 7995 
 10607 , 7992 
 4093 , 7988 
 2429 , 7988 
 7229 , 7988 
 3130 , 7983 
 6547 , 7980 
 4133 , 7978 
 8884 , 7974 
 597 , 7949 
 3973 , 7947 
 2264 , 7947 
 9147 , 7941 
 4375 , 7940 
 4569 , 7937 
 4994 , 7920 
 2396 , 7919 
 6757 , 7919 
 1248 , 7914 
 4832 , 7900 
 5570 , 7896 
 1939 , 7890 
 6220 , 7887 
 3864 , 7883 
 2408 , 7880 
 5079 , 7878 
 3352 , 7861 
 9925 , 7860 
 4580 , 7838 
 7968 , 7834 
 2898 , 7808 
 6503 , 7807 
 4058 , 7806 
 6853 , 7802 
 2082 , 7784 
 1903 , 7782 
 2821 , 7778 
 3284 , 7771 
 4565 , 7768 
 1591 , 7761 
 1982 , 7752 
 6030 , 7751 
 4394 , 7749 
 1234 , 7747 
 2553 , 7741 
 7077 , 7739 
 2365 , 7738 
 456 , 7734 
 8571 , 7724 
 2660 , 7721 
 3629 , 7717 
 2552 , 7715 
 4105 , 7713 
 4992 , 7713 
 3988 , 7703 
 2052 , 7698 
 2220 , 7698 
 759 , 7690 
 4736 , 7689 
 6024 , 7688 
 1613 , 7674 
 1264 , 7674 
 4942 , 7672 
 762 , 7671 
 3012 , 7669 
 968 , 7668 
 4306 , 7667 
 1163 , 7665 
 6350 , 7650 
 5830 , 7626 
 11698 , 7625 
 3173 , 7613 
 8102 , 7609 
 6614 , 7609 
 1009 , 7608 
 2693 , 7607 
 3435 , 7606 
 5839 , 7596 
 6542 , 7589 
 1572 , 7586 
 3002 , 7583 
 6650 , 7579 
 5330 , 7559 
 2786 , 7555 
 2280 , 7536 
 1948 , 7535 
 8405 , 7532 
 7969 , 7525 
 8428 , 7519 
 3516 , 7516 
 1421 , 7505 
 4465 , 7504 
 8761 , 7500 
 2267 , 7489 
 3949 , 7478 
 4426 , 7466 
 5187 , 7448 
 4756 , 7448 
 6392 , 7445 
 6060 , 7439 
 5922 , 7438 
 5397 , 7429 
 4884 , 7422 
 1824 , 7421 
 7654 , 7401 
 7392 , 7387 
 3773 , 7356 
 7739 , 7314 
 4473 , 7302 
 1712 , 7296 
 8585 , 7295 
 4253 , 7282 
 6134 , 7256 
 6034 , 7228 
 5189 , 7222 
 4475 , 7210 
 8227 , 7206 
 4837 , 7204 
 3867 , 7202 
 4266 , 7201 
 6686 , 7187 
 8056 , 7177 
 8635 , 7153 
 7594 , 7123 
 5132 , 7120 
 3524 , 7094 
 4893 , 7075 
 3057 , 7068 
 3320 , 7066 
 5257 , 7062 
 3663 , 7017 
 3199 , 7014 
 2730 , 7001 
 2775 , 6999 
 3587 , 6979 
 5724 , 6974 
 4942 , 6965 
 4290 , 6963 
 2820 , 6956 
 2585 , 6944 
 7977 , 6931 
 9531 , 6923 
 5956 , 6911 
 3871 , 6908 
 6543 , 6907 
 6038 , 6900 
 6939 , 6885 
 8967 , 6880 
 2434 , 6869 
 9592 , 6859 
 6748 , 6854 
 7605 , 6849 
 3091 , 6837 
 4315 , 6835 
 2756 , 6816 
 2983 , 6812 
 5222 , 6805 
 3277 , 6792 
 4757 , 6778 
 7107 , 6744 
 5201 , 6738 
 2578 , 6737 
 2560 , 6693 
 4049 , 6667 
 3246 , 6644 
 3475 , 6644 
 2951 , 6642 
 2375 , 6627 
 5935 , 6608 
 6439 , 6606 
 8918 , 6604 
 7658 , 6603 
 10138 , 6592 
 6925 , 6584 
 8218 , 6569 
 4629 , 6552 
 5084 , 6543 
 3658 , 6528 
 3796 , 6511 
 4033 , 6506 
 7062 , 6506 
 1930 , 6487 
 9636 , 6479 
 1834 , 6441 
 7631 , 6435 
 4710 , 6423 
 2905 , 6421 
 2837 , 6414 
 2129 , 6408 
 6790 , 6403 
 8791 , 6389 
 1540 , 6366 
 2451 , 6351 
 9211 , 6346 
 1829 , 6342 
 6185 , 6322 
 4239 , 6311 
 3889 , 6266 
 9920 , 6256 
 1726 , 6253 
 2465 , 6231 
 1628 , 6216 
 3596 , 6216 
 6999 , 6212 
 1359 , 6187 
 2554 , 6180 
 9594 , 6168 
 5069 , 6161 
 5228 , 6125 
 1776 , 6119 
 5654 , 6090 
 1470 , 6066 
 3311 , 6057 
 7792 , 6036 
 5128 , 6022 
 2637 , 6009 
 4953 , 6001 
 3954 , 5996 
 2359 , 5986 
 1278 , 5980 
 4530 , 5973 
 1934 , 5973 
 2382 , 5966 
 2904 , 5966 
 4145 , 5964 
 8172 , 5934 
 5225 , 5903 
 9489 , 5887 
 1871 , 5882 
 8770 , 5849 
 3273 , 5818 
 6943 , 5798 
 4405 , 5788 
 9478 , 5788 
 1936 , 5787 
 8495 , 5779 
 1972 , 5755 
 3144 , 5734 
 1716 , 5724 
 2450 , 5718 
 9998 , 5703 
 1452 , 5678 
 2171 , 5678 
 2875 , 5656 
 5413 , 5653 
 4044 , 5653 
 5102 , 5573 
 4025 , 5513 
 9806 , 5507 
 7070 , 5505 
 2410 , 5484 
 2188 , 5482 
 8276 , 5469 
 3117 , 5463 
 3691 , 5451 
 1667 , 5447 
 4683 , 5402 
 2921 , 5400 
 1881 , 5273 
 8815 , 5223 
 7534 , 5219 
 4971 , 5213 
 1883 , 5160 
 2573 , 5136 
 1782 , 5123 
 1267 , 5106 
 8996 , 5011 
 5377 , 4968 
 2281 , 4899 
 3907 , 4894 
 2069 , 4802 
 9574 , 4799 
 4471 , 4784 
 5147 , 4695 
 5183 , 4675 
 5787 , 4656 
 4869 , 4655 
 4231 , 4485 
 8862 , 4465 
 3581 , 4452 
 6032 , 4314 
 5068 , 4312 
 4271 , 4171 
 4430 , 4051 
 5526 , 3941 
