"SPECIES: common name","Albino rat"
"SPECIES: Latin  name","Rattus norvegicus"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs, MTN-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-29"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","all"
"NUMBER OF CELLS",1674
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the published Fig 4B of Dann and Buhl (1987) J Comp Neurol 262: 141-158"
"X","Y"
 3975 , 4297 
 3803 , 4296 
 434 , 4295 
 1120 , 4288 
 1473 , 4288 
 763 , 4287 
 3990 , 4287 
 5201 , 4285 
 3557 , 4281 
 4724 , 4281 
 4118 , 4280 
 3034 , 4280 
 993 , 4279 
 4382 , 4279 
 4970 , 4276 
 2400 , 4274 
 4411 , 4265 
 2916 , 4265 
 3494 , 4265 
 2179 , 4259 
 1165 , 4258 
 4953 , 4257 
 1640 , 4254 
 2764 , 4254 
 4211 , 4249 
 3810 , 4245 
 3897 , 4240 
 1415 , 4240 
 2470 , 4239 
 714 , 4236 
 328 , 4235 
 2674 , 4234 
 3713 , 4233 
 3463 , 4232 
 1151 , 4229 
 4445 , 4227 
 1612 , 4227 
 4213 , 4225 
 4294 , 4224 
 3992 , 4224 
 3696 , 4223 
 1264 , 4220 
 1582 , 4218 
 3620 , 4218 
 4485 , 4214 
 3380 , 4213 
 4751 , 4212 
 1323 , 4211 
 2427 , 4208 
 3878 , 4204 
 1171 , 4194 
 2150 , 4194 
 2276 , 4190 
 2476 , 4189 
