"SPECIES: common name","Red-eared slider turtle"
"SPECIES: Latin  name","Pseudemys scripta elegans"
"RETINAL CELL TYPE NAME: as published","AOS-projecting RGCs"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook and Podugolnikova (2001) Vis Neurosci 18: 289-297"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","visual streak"
"NUMBER OF CELLS",803
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Digitized from the original cell plots for Fig 6C of Zhang and Eldred (1994) Neurosci 61: 707-718"
"X","Y"
 1943 , 4449 
 1323 , 4448 
 836 , 4446 
 918 , 4445 
 982 , 4444 
 769 , 4444 
 3149 , 4443 
 859 , 4443 
 2343 , 4442 
 1398 , 4441 
 2109 , 4440 
 2190 , 4440 
 670 , 4440 
 2553 , 4438 
 3950 , 4438 
 2670 , 4437 
 1368 , 4436 
 177 , 4436 
 220 , 4436 
 520 , 4436 
 3052 , 4435 
 1075 , 4434 
 1651 , 4433 
 1302 , 4432 
 1796 , 4431 
 2227 , 4430 
 2449 , 4429 
 2591 , 4429 
 454 , 4427 
 3674 , 4426 
 1913 , 4424 
 1676 , 4419 
 2036 , 4419 
 3796 , 4418 
 3252 , 4417 
 1808 , 4417 
 1586 , 4416 
 3454 , 4414 
 778 , 4414 
 1505 , 4413 
 1558 , 4413 
 942 , 4408 
 1090 , 4408 
 1740 , 4407 
 665 , 4406 
 2896 , 4405 
 2263 , 4405 
 2237 , 4405 
 2588 , 4404 
 1254 , 4404 
 1179 , 4402 
 1879 , 4402 
 2979 , 4402 
 995 , 4401 
 3329 , 4399 
 3545 , 4399 
 516 , 4397 
 1947 , 4396 
 3148 , 4396 
 3492 , 4395 
 1670 , 4395 
 975 , 4393 
 1864 , 4393 
 2713 , 4392 
 3077 , 4390 
 2165 , 4390 
 485 , 4389 
 425 , 4388 
 1536 , 4386 
 760 , 4385 
 1501 , 4385 
 929 , 4380 
 2685 , 4380 
 1821 , 4379 
 1941 , 4376 
 1712 , 4372 
 2824 , 4371 
 2382 , 4371 
 883 , 4369 
 1378 , 4367 
 1808 , 4367 
 2491 , 4365 
 1554 , 4362 
 2508 , 4361 
 1934 , 4351 
 1298 , 4351 
 1415 , 4351 
 1059 , 4350 
 721 , 4350 
 1918 , 4348 
 2080 , 4348 
 2326 , 4347 
 801 , 4346 
 1659 , 4344 
 1689 , 4341 
 1778 , 4337 
 1157 , 4335 
 2033 , 4334 
 2245 , 4333 
 1448 , 4333 
 1180 , 4332 
 1275 , 4323 
 1932 , 4323 
 726 , 4322 
 346 , 4320 
 2044 , 4318 
 262 , 4318 
 2091 , 4313 
 965 , 4312 
 1679 , 4306 
 1324 , 4306 
 1885 , 4305 
 1921 , 4303 
 1995 , 4303 
 240 , 4296 
 1243 , 4295 
 1559 , 4285 
 219 , 4285 
 1215 , 4285 
 1771 , 4282 
 660 , 4282 
 2230 , 4275 
 1468 , 4273 
 973 , 4269 
 400 , 4267 
 744 , 4261 
 1437 , 4256 
 1121 , 4254 
 1555 , 4251 
 1670 , 4250 
 894 , 4248 
 1489 , 4247 
 576 , 4246 
 967 , 4246 
 149 , 4244 
 1332 , 4244 
 1820 , 4240 
 1699 , 4235 
 1210 , 4232 
 252 , 4220 
 1230 , 4219 
 1077 , 4218 
 1680 , 4218 
 1113 , 4218 
 826 , 4217 
 1855 , 4215 
 976 , 4214 
 340 , 4209 
 400 , 4204 
 1688 , 4193 
 1539 , 4188 
 760 , 4182 
 1520 , 4182 
 1398 , 4181 
 1557 , 4163 
 1294 , 4156 
 911 , 4153 
 1371 , 4143 
 880 , 4138 
 1282 , 4136 
 437 , 4132 
 1245 , 4125 
 771 , 4125 
 603 , 4114 
 484 , 4102 
 916 , 4067 
